ID,time,event,Death_Causes,Density,RoadBuild,LocCore,Age_F,Age_M,Conf2,Conf1,TimePres,Moose,Country,LocEast,F_male ,F_female,F
33,2,0,0,-1.052369541,-0.637202585,0.074323318,-0.255656418,0.346272934,-0.665040773,0.033655281,-0.948650759,1.595566238,3,-0.815079325,-1.186398476,-0.082467287,0.182415427
33,3,1,0,-1.052369541,-1.603665349,0.106002629,0.144077558,0.799374752,-0.36991363,-0.37520541,-1.027254402,1.007420287,3,-0.798954955,-1.186398476,-0.082467287,0.182415427
34,1,0,0,-1.052369541,1.630393493,0.457659243,1.343279486,-1.013032519,0.390092028,1.539275357,-1.250667713,-0.282682034,3,0.968097014,0.040845445,-2.88168467,-1.163172922
34,2,0,0,-1.052369541,1.308477849,0.593179316,1.743013462,-0.559930702,0.540130624,1.528881789,-0.943828292,-0.376144589,3,0.943532007,0.040845445,-2.88168467,-1.163172922
34,3,0,0,-1.052369541,1.643655532,0.832388291,2.142747438,-0.106828884,0.338334254,1.592284453,-0.680458003,-0.538130589,3,1.008809326,0.040845445,-2.88168467,-1.163172922
34,4,0,0,-0.346325249,0.904227664,0.342374691,2.542481414,0.346272934,1.154203502,1.689979464,-0.75860256,-0.076846473,3,1.01667655,0.040845445,-2.88168467,-1.163172922
34,5,1,2,1.065763335,0.941425783,-0.069308895,2.94221539,0.799374752,0.91435682,1.598353797,-0.315599305,-0.356966749,3,0.956250304,0.040845445,-2.88168467,-1.163172922
35,1,0,0,3.183896212,0.251796029,-1.265525676,-1.05512437,-1.013032519,0.918576096,1.038970891,2.094220366,0.994333805,3,-0.377037782,0.543524555,0.337412335,0.218146087
35,2,0,0,1.771807628,0.622812112,-1.061170235,-0.655390394,-0.559930702,0.237665369,0.759701923,3.595115615,1.374421135,3,-0.462006097,0.543524555,0.337412335,0.218146087
36,1,1,0,-1.052369541,0.748804466,1.038739402,-1.05512437,-0.559930702,0.656485682,-1.320657681,-0.264420707,-0.81145583,1,-1.28455536,0.742127685,0.990569029,0.248169681
37,1,1,2,-0.346325249,1.463724512,1.701674488,-0.655390394,-1.013032519,-2.309632499,-2.187777403,-0.998113389,-0.422680982,3,0.754007593,-2.588962957,-2.88168467,0.056736983
38,1,0,0,-1.052369541,-1.15263802,0.696876535,0.543811534,-1.013032519,0.12427994,-0.945462633,2.094645292,0.449751947,3,0.471808194,0.843482605,2.296870475,-0.310802971
39,1,0,0,-0.346325249,-1.622076485,1.667610015,0.543811534,-1.013032519,0.898846201,-0.091817393,0.083323092,-0.800676301,2,-1.345738511,0.4353139,-0.082467287,0.097547423
39,2,1,0,-1.052369541,-1.172357457,1.631081824,0.94354551,-0.559930702,0.07947401,0.083299932,0.59383424,-0.300735612,2,-1.341231486,0.4353139,-0.082467287,0.097547423
40,1,1,0,-0.346325249,-0.703298182,0.071881174,-0.655390394,-1.013032519,-1.501015359,1.318025472,-0.011445991,2.675524203,1,-1.140949846,0.294238354,-2.88168467,-1.579825621
41,1,0,0,2.47785192,-1.279678242,-0.142299987,-1.05512437,-1.013032519,1.094815914,-0.619492239,-0.126596226,0.581572956,3,0.778847837,-2.588962957,0.419056922,-1.752329064
42,1,0,0,-1.052369541,-0.241997442,-0.015318007,-0.655390394,-0.559930702,-0.318843071,-0.511541039,-1.250667713,-1.025429186,3,1.534044027,-0.485116236,-0.175768561,-0.721613308
42,2,0,0,-1.052369541,0.041674557,0.189467746,-0.255656418,-0.106828884,-0.303750362,-0.469844249,-1.040351555,-1.892846227,3,1.626581392,-0.485116236,-0.175768561,-0.721613308
